"","PassengerId","Survived","Pclass","Sex","Age","Embarked"
"443",443,0,3,"male",25,"S"
"444",444,1,2,"female",28,"S"
"446",446,1,1,"male",29.2129128266633,"S"
"447",447,1,2,"female",13,"S"
"448",448,1,1,"male",34,"S"
"449",449,1,3,"female",29.2129128266633,"C"
"450",450,1,1,"male",29.6420926966292,"S"
"451",451,0,2,"male",36,"S"
"453",453,0,1,"male",30,"C"
"454",454,1,1,"male",49,"C"
"456",456,1,3,"male",29,"C"
"457",457,0,1,"male",29.6420926966292,"S"
"459",459,1,2,"female",50,"S"
"461",461,1,1,"male",48,"S"
"462",462,0,3,"male",34,"S"
"463",463,0,1,"male",47,"S"
"464",464,0,2,"male",48,"S"
"466",466,0,3,"male",38,"S"
"468",468,0,1,"male",29.6420926966292,"S"
"470",470,1,3,"female",29.6420926966292,"C"
"472",472,0,3,"male",38,"S"
"473",473,1,2,"female",33,"S"
"474",474,1,2,"female",23,"C"
"475",475,0,3,"female",22,"S"
"477",477,0,2,"male",34,"S"
"478",478,0,3,"male",29,"S"
"479",479,0,3,"male",22,"S"
"480",480,1,3,"female",29.6420926966292,"S"
"481",481,0,3,"male",29.2129128266633,"S"
"483",483,0,3,"male",50,"S"
"484",484,1,3,"female",29.6420926966292,"S"
"485",485,1,1,"male",25,"C"
"487",487,1,1,"female",35,"S"
"488",488,0,1,"male",29.6420926966292,"C"
"489",489,0,3,"male",30,"S"
"490",490,1,3,"male",29.2129128266633,"S"
"492",492,0,3,"male",21,"S"
"493",493,0,1,"male",29.6420926966292,"S"
"494",494,0,1,"male",29.6420926966292,"C"
"495",495,0,3,"male",21,"S"
"497",497,1,1,"female",29.6420926966292,"C"
"499",499,0,1,"female",25,"S"
"500",500,0,3,"male",24,"S"
"501",501,0,3,"male",17,"S"
"502",502,0,3,"female",21,"Q"
"504",504,0,3,"female",37,"S"
"505",505,1,1,"female",16,"S"
"506",506,0,1,"male",18,"C"
"507",507,1,2,"female",33,"S"
"509",509,0,3,"male",28,"S"
"510",510,1,3,"male",26,"S"
"511",511,1,3,"male",29,"Q"
"513",513,1,1,"male",36,"S"
"514",514,1,1,"female",29.6420926966292,"C"
"515",515,0,3,"male",24,"S"
"516",516,0,1,"male",47,"S"
"517",517,1,2,"female",34,"S"
"519",519,1,2,"female",36,"S"
"520",520,0,3,"male",32,"S"
"521",521,1,1,"female",30,"S"
"522",522,0,3,"male",22,"S"
"524",524,1,1,"female",44,"C"
"526",526,0,3,"male",40.5,"Q"
"527",527,1,2,"female",50,"S"
"529",529,0,3,"male",39,"S"
"530",530,0,2,"male",23,"S"
"531",531,1,2,"female",29.6420926966292,"S"
"533",533,0,3,"male",17,"C"
"535",535,0,3,"female",30,"S"
"536",536,1,2,"female",29.2129128266633,"S"
"537",537,0,1,"male",45,"S"
"538",538,1,1,"female",30,"C"
"540",540,1,1,"female",22,"C"
"541",541,1,1,"female",36,"S"
"542",542,0,3,"female",29.2129128266633,"S"
"543",543,0,3,"female",11,"S"
"544",544,1,2,"male",32,"S"
"545",545,0,1,"male",50,"C"
"546",546,0,1,"male",29.6420926966292,"S"
"547",547,1,2,"female",19,"S"
"549",549,0,3,"male",33,"S"
"550",550,1,2,"male",29.2129128266633,"S"
"551",551,1,1,"male",17,"C"
"552",552,0,2,"male",27,"S"
"554",554,1,3,"male",22,"C"
"555",555,1,3,"female",22,"S"
"556",556,0,1,"male",29.6420926966292,"S"
"557",557,1,1,"female",48,"C"
"559",559,1,1,"female",39,"S"
"560",560,1,3,"female",36,"S"
"562",562,0,3,"male",40,"S"
"563",563,0,2,"male",28,"S"
"566",566,0,3,"male",24,"S"
"567",567,0,3,"male",19,"S"
"568",568,0,3,"female",29,"S"
"570",570,1,3,"male",32,"S"
"571",571,1,2,"male",29.6420926966292,"S"
"572",572,1,1,"female",29.6420926966292,"S"
"573",573,1,1,"male",36,"S"
"575",575,0,3,"male",16,"S"
"576",576,0,3,"male",19,"S"
"577",577,1,2,"female",34,"S"
"578",578,1,1,"female",39,"S"
"580",580,1,3,"male",32,"S"
"581",581,1,2,"female",25,"S"
"582",582,1,1,"female",39,"C"
"583",583,0,2,"male",29.6420926966292,"S"
"584",584,0,1,"male",36,"C"
"586",586,1,1,"female",18,"S"
"587",587,0,2,"male",47,"S"
"588",588,1,1,"male",29.6420926966292,"C"
"589",589,0,3,"male",22,"S"
"591",591,0,3,"male",35,"S"
"592",592,1,1,"female",29.6420926966292,"C"
"593",593,0,3,"male",47,"S"
"595",595,0,2,"male",37,"S"
"596",596,0,3,"male",36,"S"
"598",598,0,3,"male",49,"S"
"600",600,1,1,"male",49,"C"
"601",601,1,2,"female",24,"S"
"604",604,0,3,"male",44,"S"
"605",605,1,1,"male",35,"C"
"606",606,0,3,"male",36,"S"
"607",607,0,3,"male",30,"S"
"608",608,1,1,"male",27,"S"
"609",609,1,2,"female",22,"C"
"610",610,1,1,"female",40,"S"
"611",611,0,3,"female",39,"S"
"615",615,0,3,"male",35,"S"
"616",616,1,2,"female",24,"S"
"617",617,0,3,"male",34,"S"
"618",618,0,3,"female",26,"S"
"619",619,1,2,"female",29.2129128266633,"S"
"620",620,0,2,"male",26,"S"
"621",621,0,3,"male",27,"C"
"622",622,1,1,"male",42,"S"
"623",623,1,3,"male",20,"C"
"624",624,0,3,"male",21,"S"
"625",625,0,3,"male",21,"S"
"626",626,0,1,"male",29.6420926966292,"S"
"627",627,0,2,"male",29.6420926966292,"Q"
"628",628,1,1,"female",21,"S"
"629",629,0,3,"male",26,"S"
"631",631,1,1,"male",29.6420926966292,"S"
"632",632,0,3,"male",29.6420926966292,"S"
"633",633,1,1,"male",32,"C"
"635",635,0,3,"female",29.2129128266633,"S"
"636",636,1,2,"female",28,"S"
"637",637,0,3,"male",32,"S"
"638",638,0,2,"male",31,"S"
"639",639,0,3,"female",41,"S"
"641",641,0,3,"male",20,"S"
"642",642,1,1,"female",24,"C"
"643",643,0,3,"female",29.6420926966292,"S"
"645",645,1,3,"female",29.6420926966292,"C"
"646",646,1,1,"male",48,"C"
"647",647,0,3,"male",19,"S"
"648",648,1,1,"male",29.6420926966292,"C"
"650",650,1,3,"female",23,"S"
"652",652,1,2,"female",18,"S"
"653",653,0,3,"male",21,"S"
"655",655,0,3,"female",18,"Q"
"656",656,0,2,"male",24,"S"
"658",658,0,3,"female",32,"Q"
"659",659,0,2,"male",23,"S"
"660",660,0,1,"male",29.6420926966292,"C"
"661",661,1,1,"male",50,"S"
"662",662,0,3,"male",40,"C"
"663",663,0,1,"male",47,"S"
"664",664,0,3,"male",36,"S"
"665",665,1,3,"male",20,"S"
"666",666,0,2,"male",32,"S"
"667",667,0,2,"male",25,"S"
"669",669,0,3,"male",43,"S"
"671",671,1,2,"female",40,"S"
"672",672,0,1,"male",31,"S"
"673",673,0,2,"male",29.6420926966292,"S"
"674",674,1,2,"male",31,"S"
"676",676,0,3,"male",18,"S"
"677",677,0,3,"male",24.5,"S"
"678",678,1,3,"female",18,"S"
"679",679,0,3,"female",43,"S"
"680",680,1,1,"male",36,"C"
"682",682,1,1,"male",27,"C"
"683",683,0,3,"male",20,"S"
"684",684,0,3,"male",14,"S"
"685",685,0,2,"male",29.6420926966292,"S"
"686",686,0,2,"male",25,"C"
"687",687,0,3,"male",14,"S"
"688",688,0,3,"male",19,"S"
"689",689,0,3,"male",18,"S"
"690",690,1,1,"female",15,"S"
"691",691,1,1,"male",31,"S"
"692",692,1,3,"female",29.2129128266633,"C"
"694",694,0,3,"male",25,"C"
"695",695,0,1,"male",29.6420926966292,"S"
"696",696,0,2,"male",29.6420926966292,"S"
"697",697,0,3,"male",44,"S"
"699",699,0,1,"male",49,"C"
"700",700,0,3,"male",42,"S"
"701",701,1,1,"female",18,"C"
"702",702,1,1,"male",35,"S"
"703",703,0,3,"female",18,"C"
"704",704,0,3,"male",25,"Q"
"705",705,0,3,"male",26,"S"
"706",706,0,2,"male",39,"S"
"707",707,1,2,"female",45,"S"
"708",708,1,1,"male",42,"S"
"709",709,1,1,"female",22,"S"
"711",711,1,1,"female",24,"C"
"713",713,1,1,"male",48,"S"
"714",714,0,3,"male",29,"S"
"715",715,0,2,"male",29.6420926966292,"S"
"716",716,0,3,"male",19,"S"
"717",717,1,1,"female",38,"C"
"718",718,1,2,"female",27,"S"
"720",720,0,3,"male",33,"S"
"721",721,1,2,"female",29.2129128266633,"S"
"722",722,0,3,"male",17,"S"
"723",723,0,2,"male",34,"S"
"724",724,0,2,"male",50,"S"
"725",725,1,1,"male",27,"S"
"726",726,0,3,"male",20,"S"
"727",727,1,2,"female",30,"S"
"729",729,0,2,"male",25,"S"
"730",730,0,3,"female",25,"S"
"731",731,1,1,"female",29,"S"
"732",732,0,3,"male",11,"C"
"734",734,0,2,"male",23,"S"
"735",735,0,2,"male",23,"S"
"736",736,0,3,"male",28.5,"S"
"737",737,0,3,"female",48,"S"
"738",738,1,1,"male",35,"C"
"742",742,0,1,"male",36,"S"
"743",743,1,1,"female",21,"C"
"744",744,0,3,"male",24,"S"
"745",745,1,3,"male",31,"S"
"746",746,0,1,"male",29.6420926966292,"S"
"747",747,0,3,"male",16,"S"
"748",748,1,2,"female",30,"S"
"749",749,0,1,"male",19,"S"
"750",750,0,3,"male",31,"Q"
"751",751,1,2,"female",29.2129128266633,"S"
"752",752,1,3,"male",29.2129128266633,"S"
"753",753,0,3,"male",33,"S"
"754",754,0,3,"male",23,"S"
"755",755,1,2,"female",48,"S"
"756",756,1,2,"male",29.6420926966292,"S"
"757",757,0,3,"male",28,"S"
"758",758,0,2,"male",18,"S"
"759",759,0,3,"male",34,"S"
"760",760,1,1,"female",33,"S"
"762",762,0,3,"male",41,"S"
"763",763,1,3,"male",20,"C"
"764",764,1,1,"female",36,"S"
"765",765,0,3,"male",16,"S"
"766",766,1,1,"female",29.6420926966292,"S"
"768",768,0,3,"female",30.5,"Q"
"770",770,0,3,"male",32,"S"
"771",771,0,3,"male",24,"S"
"772",772,0,3,"male",48,"S"
"773",773,0,2,"female",29.6420926966292,"S"
"775",775,1,2,"female",29.6420926966292,"S"
"776",776,0,3,"male",18,"S"
"778",778,1,3,"female",29.2129128266633,"S"
"780",780,1,1,"female",43,"S"
"781",781,1,3,"female",13,"C"
"782",782,1,1,"female",17,"S"
"783",783,0,1,"male",29,"S"
"785",785,0,3,"male",25,"S"
"786",786,0,3,"male",25,"S"
"787",787,1,3,"female",18,"S"
"788",788,0,3,"male",29.2129128266633,"Q"
"789",789,1,3,"male",29.6420926966292,"S"
"790",790,0,1,"male",46,"C"
"792",792,0,2,"male",16,"S"
"795",795,0,3,"male",25,"S"
"796",796,0,2,"male",39,"S"
"797",797,1,1,"female",49,"S"
"798",798,1,3,"female",31,"S"
"799",799,0,3,"male",30,"C"
"800",800,0,3,"female",30,"S"
"801",801,0,2,"male",34,"S"
"802",802,1,2,"female",31,"S"
"803",803,1,1,"male",11,"S"
"804",804,1,3,"male",29.6420926966292,"C"
"805",805,1,3,"male",27,"S"
"806",806,0,3,"male",31,"S"
"807",807,0,1,"male",39,"S"
"808",808,0,3,"female",18,"S"
"809",809,0,2,"male",39,"S"
"810",810,1,1,"female",33,"S"
"811",811,0,3,"male",26,"S"
"812",812,0,3,"male",39,"S"
"813",813,0,2,"male",35,"S"
"814",814,0,3,"female",29.2129128266633,"S"
"815",815,0,3,"male",30.5,"S"
"817",817,0,3,"female",23,"S"
"818",818,0,2,"male",31,"C"
"819",819,0,3,"male",43,"S"
"820",820,0,3,"male",29.2129128266633,"S"
"821",821,1,1,"female",29.6420926966292,"S"
"822",822,1,3,"male",27,"S"
"823",823,0,1,"male",38,"S"
"824",824,1,3,"female",27,"S"
"825",825,0,3,"male",29.6420926966292,"S"
"828",828,1,2,"male",29.6420926966292,"C"
"831",831,1,3,"female",15,"C"
"832",832,1,2,"male",29.6420926966292,"S"
"834",834,0,3,"male",23,"S"
"835",835,0,3,"male",18,"S"
"836",836,1,1,"female",39,"C"
"837",837,0,3,"male",21,"S"
"839",839,1,3,"male",32,"S"
"841",841,0,3,"male",20,"S"
"842",842,0,2,"male",16,"S"
"843",843,1,1,"female",30,"C"
"844",844,0,3,"male",34.5,"C"
"845",845,0,3,"male",17,"S"
"846",846,0,3,"male",42,"S"
"848",848,0,3,"male",35,"C"
"849",849,0,2,"male",28,"S"
"851",851,0,3,"male",29.2129128266633,"S"
"852",852,0,3,"male",29.6420926966292,"S"
"853",853,0,3,"female",29.2129128266633,"C"
"854",854,1,1,"female",16,"S"
"855",855,0,2,"female",44,"S"
"856",856,1,3,"female",18,"S"
"857",857,1,1,"female",45,"S"
"858",858,1,1,"male",29.6420926966292,"S"
"859",859,1,3,"female",24,"C"
"861",861,0,3,"male",41,"S"
"862",862,0,2,"male",21,"S"
"863",863,1,1,"female",48,"S"
"865",865,0,2,"male",24,"S"
"866",866,1,2,"female",42,"S"
"867",867,1,2,"female",27,"C"
"868",868,0,1,"male",31,"S"
"870",870,1,3,"male",29.2129128266633,"S"
"871",871,0,3,"male",26,"S"
"872",872,1,1,"female",47,"S"
"873",873,0,1,"male",33,"S"
"874",874,0,3,"male",47,"S"
"875",875,1,2,"female",28,"C"
"876",876,1,3,"female",15,"C"
"877",877,0,3,"male",20,"S"
"878",878,0,3,"male",19,"S"
"880",880,1,1,"female",29.6420926966292,"C"
"881",881,1,2,"female",25,"S"
"882",882,0,3,"male",33,"S"
"883",883,0,3,"female",22,"S"
"884",884,0,2,"male",28,"S"
"885",885,0,3,"male",25,"S"
"886",886,0,3,"female",39,"Q"
"887",887,0,2,"male",27,"S"
"888",888,1,1,"female",19,"S"
"890",890,1,1,"male",26,"C"
"891",891,0,3,"male",32,"Q"
